0,0.188,-3.187,-0.11105,0,0,0.1587,-0.18255,-0.63482,0.7302,5.5511e-17,-4.4409e-16,-5.2369e-07,0,0
0.01,0.188,-3.187,-0.11105,0,0,0.1587,-0.18255,-0.60993,0.70157,5.5511e-17,-4.4409e-16,-5.2369e-07,0,0
0.012,0.188,-3.187,-0.11105,0,0,0.1587,-0.18255,-0.60092,0.7002,5.5511e-17,-4.4409e-16,-5.2369e-07,0,0
0.02,0.188,-3.187,-0.11105,0,0,0.1587,-0.18255,-0.58199,0.67815,5.5511e-17,-4.4409e-16,-5.2369e-07,0,1.2974e-06
0.024,0.188,-3.187,-0.11105,0,0,0.15127,-0.17399,-0.57273,0.66742,5.5511e-17,-4.4409e-16,-5.2369e-07,0,1.9089e-06
0.03,0.188,-3.187,-0.11105,0,0,0.15127,-0.17399,-0.55915,0.65159,5.5511e-17,-4.4409e-16,-5.2369e-07,0,3.8574e-06
0.036,0.18801,-3.187,-0.11105,0,0,0.14423,-0.16579,-0.54587,0.63617,1.0644e-05,-1.1155e-07,-5.1202e-07,0,5.6602e-06
0.04,0.18801,-3.187,-0.11105,0,0,0.14423,-0.16579,-0.5372,0.62607,1.0644e-05,-1.1155e-07,-5.1202e-07,0,7.5733e-06
0.048,0.18805,-3.187,-0.11105,0,0,0.13752,-0.15797,-0.52027,0.60637,4.9125e-05,-4.9413e-07,-4.6602e-07,0,1.1066e-05
0.05,0.18805,-3.187,-0.11105,0,0,0.13752,-0.15797,-0.51612,0.60154,4.9125e-05,-4.9413e-07,-4.6602e-07,0,1.2303e-05
0.06,0.18813,-3.187,-0.11105,0,0,0.13112,-0.15052,-0.49587,0.57797,0.00012781,-1.2335e-06,-3.6466e-07,0,1.7894e-05
0.07,0.18813,-3.187,-0.11105,0,0,0.13112,-0.15052,-0.47643,0.55531,0.00012781,-1.2335e-06,-3.6466e-07,0,2.4692e-05
0.072,0.18825,-3.187,-0.11105,0,0,0.12502,-0.14341,-0.47262,0.5509,0.00025561,-2.3671e-06,-1.8949e-07,0,2.5906e-05
0.08,0.18825,-3.187,-0.11105,0,0,0.12502,-0.14341,-0.45774,0.53355,0.00025561,-2.3671e-06,-1.8949e-07,0,3.2121e-05
0.084,0.18844,-3.1871,-0.11105,0,0,0.11921,-0.13664,-0.45047,0.52508,0.00043892,-3.9004e-06,7.509e-08,0,3.4878e-05
0.09,0.18844,-3.1871,-0.11105,0,0,0.11921,-0.13664,-0.43979,0.51263,0.00043892,-3.9004e-06,7.509e-08,0,4.0048e-05
0.096,0.18868,-3.1871,-0.11105,0,0,0.11368,-0.13019,-0.42936,0.50048,0.00068237,-5.8192e-06,4.4192e-07,0,4.4612e-05
0.1,0.18868,-3.1871,-0.11105,0.020532,-0.025393,0.11368,-0.13019,-0.42254,0.49253,0.00068237,-5.8192e-06,4.4192e-07,0,4.8355e-05
0.108,0.18898,-3.1871,-0.11105,0.020532,-0.025393,0.1084,-0.12403,-0.40918,0.4771,0.00098927,-8.0969e-06,9.2128e-07,0,5.4937e-05
0.11,0.18898,-3.1871,-0.11105,0.020532,-0.025393,0.1084,-0.12403,-0.40592,0.4733,0.00098927,-8.0969e-06,9.2128e-07,0,5.6939e-05
0.12,0.18935,-3.1872,-0.11105,0.020532,-0.025393,0.10337,-0.11817,-0.39001,0.45473,0.001362,-1.07e-05,1.5212e-06,0,6.571e-05
0.13,0.18935,-3.1872,-0.11105,0.020532,-0.025393,0.10337,-0.11817,-0.37472,0.4369,0.001362,-1.07e-05,1.5212e-06,0,7.5166e-05
0.132,0.18979,-3.1872,-0.11105,0.020532,-0.025393,0.098574,-0.11258,-0.37174,0.4334,0.0018024,-1.359e-05,2.248e-06,0,7.6808e-05
0.14,0.18979,-3.1872,-0.11105,0.020532,-0.025393,0.098574,-0.11258,-0.36004,0.41975,0.0018024,-1.359e-05,2.248e-06,0,8.4709e-05
0.144,0.1903,-3.1873,-0.11104,0.020532,-0.025393,0.094004,-0.10725,-0.35433,0.41307,0.0023116,-1.6728e-05,3.1062e-06,0,8.8129e-05
0.15,0.1903,-3.1873,-0.11104,0.020532,-0.025393,0.094004,-0.10725,-0.34593,0.40328,0.0023116,-1.6728e-05,3.1062e-06,0,8.9224e-05
0.156,0.19087,-3.1873,-0.11104,0.020532,-0.025393,0.089649,-0.10217,-0.33753,0.39406,-0.0021964,-2.0416e-05,-0.00097543,0.0050897,9.0252e-05
